,월,사고유형,사고분류,사고분류_소,사고분류_대,사고수,계절,발생장소,보행중교통사고
90,7,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1403,여름,보도,TRUE
91,7,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,41,여름,보도,TRUE
92,7,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1432,여름,보도,TRUE
93,8,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1212,여름,보도,TRUE
94,8,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,23,여름,보도,TRUE
95,8,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1249,여름,보도,TRUE
96,9,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1441,가을,보도,TRUE
97,9,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,36,가을,보도,TRUE
98,9,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1488,가을,보도,TRUE
99,10,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1512,가을,보도,TRUE
100,10,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,32,가을,보도,TRUE
101,10,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1566,가을,보도,TRUE
102,11,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1607,가을,보도,TRUE
103,11,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,43,가을,보도,TRUE
104,11,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1646,가을,보도,TRUE
105,12,사고건수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1445,겨울,보도,TRUE
106,12,사망자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,40,겨울,보도,TRUE
107,12,부상자수,차대사람_길가장자리구역통행중,길가장자리구역통행중,차대사람,1484,겨울,보도,TRUE
108,1,사고건수,차대사람_보도통행중,보도통행중,차대사람,140,겨울,보도,TRUE
109,1,사망자수,차대사람_보도통행중,보도통행중,차대사람,4,겨울,보도,TRUE
110,1,부상자수,차대사람_보도통행중,보도통행중,차대사람,141,겨울,보도,TRUE
111,2,사고건수,차대사람_보도통행중,보도통행중,차대사람,126,겨울,보도,TRUE
112,2,사망자수,차대사람_보도통행중,보도통행중,차대사람,1,겨울,보도,TRUE
113,2,부상자수,차대사람_보도통행중,보도통행중,차대사람,131,겨울,보도,TRUE
114,3,사고건수,차대사람_보도통행중,보도통행중,차대사람,189,봄,보도,TRUE
115,3,사망자수,차대사람_보도통행중,보도통행중,차대사람,3,봄,보도,TRUE
116,3,부상자수,차대사람_보도통행중,보도통행중,차대사람,196,봄,보도,TRUE
117,4,사고건수,차대사람_보도통행중,보도통행중,차대사람,201,봄,보도,TRUE
118,4,사망자수,차대사람_보도통행중,보도통행중,차대사람,2,봄,보도,TRUE
119,4,부상자수,차대사람_보도통행중,보도통행중,차대사람,211,봄,보도,TRUE
120,5,사고건수,차대사람_보도통행중,보도통행중,차대사람,217,봄,보도,TRUE
121,5,사망자수,차대사람_보도통행중,보도통행중,차대사람,2,봄,보도,TRUE
122,5,부상자수,차대사람_보도통행중,보도통행중,차대사람,230,봄,보도,TRUE
123,6,사고건수,차대사람_보도통행중,보도통행중,차대사람,200,봄,보도,TRUE
124,6,사망자수,차대사람_보도통행중,보도통행중,차대사람,1,봄,보도,TRUE
125,6,부상자수,차대사람_보도통행중,보도통행중,차대사람,210,봄,보도,TRUE
126,7,사고건수,차대사람_보도통행중,보도통행중,차대사람,177,여름,보도,TRUE
127,7,사망자수,차대사람_보도통행중,보도통행중,차대사람,0,여름,보도,TRUE
128,7,부상자수,차대사람_보도통행중,보도통행중,차대사람,188,여름,보도,TRUE
129,8,사고건수,차대사람_보도통행중,보도통행중,차대사람,168,여름,보도,TRUE
130,8,사망자수,차대사람_보도통행중,보도통행중,차대사람,1,여름,보도,TRUE
131,8,부상자수,차대사람_보도통행중,보도통행중,차대사람,177,여름,보도,TRUE
132,9,사고건수,차대사람_보도통행중,보도통행중,차대사람,191,가을,보도,TRUE
133,9,사망자수,차대사람_보도통행중,보도통행중,차대사람,2,가을,보도,TRUE
134,9,부상자수,차대사람_보도통행중,보도통행중,차대사람,199,가을,보도,TRUE
135,10,사고건수,차대사람_보도통행중,보도통행중,차대사람,216,가을,보도,TRUE
136,10,사망자수,차대사람_보도통행중,보도통행중,차대사람,2,가을,보도,TRUE
137,10,부상자수,차대사람_보도통행중,보도통행중,차대사람,223,가을,보도,TRUE
138,11,사고건수,차대사람_보도통행중,보도통행중,차대사람,222,가을,보도,TRUE
139,11,사망자수,차대사람_보도통행중,보도통행중,차대사람,2,가을,보도,TRUE
140,11,부상자수,차대사람_보도통행중,보도통행중,차대사람,238,가을,보도,TRUE
141,12,사고건수,차대사람_보도통행중,보도통행중,차대사람,179,겨울,보도,TRUE
142,12,사망자수,차대사람_보도통행중,보도통행중,차대사람,1,겨울,보도,TRUE
143,12,부상자수,차대사람_보도통행중,보도통행중,차대사람,187,겨울,보도,TRUE
144,1,사고건수,차대차_충돌,충돌,차대차,5993,겨울,,FALSE
145,1,사망자수,차대차_충돌,충돌,차대차,37,겨울,,FALSE
146,1,부상자수,차대차_충돌,충돌,차대차,9141,겨울,,FALSE
147,2,사고건수,차대차_충돌,충돌,차대차,6040,겨울,,FALSE
148,2,사망자수,차대차_충돌,충돌,차대차,46,겨울,,FALSE
149,2,부상자수,차대차_충돌,충돌,차대차,9292,겨울,,FALSE
150,3,사고건수,차대차_충돌,충돌,차대차,6852,봄,,FALSE
151,3,사망자수,차대차_충돌,충돌,차대차,40,봄,,FALSE
152,3,부상자수,차대차_충돌,충돌,차대차,10314,봄,,FALSE
153,4,사고건수,차대차_충돌,충돌,차대차,7287,봄,,FALSE
154,4,사망자수,차대차_충돌,충돌,차대차,45,봄,,FALSE
155,4,부상자수,차대차_충돌,충돌,차대차,11010,봄,,FALSE
156,5,사고건수,차대차_충돌,충돌,차대차,7071,봄,,FALSE
157,5,사망자수,차대차_충돌,충돌,차대차,52,봄,,FALSE
158,5,부상자수,차대차_충돌,충돌,차대차,10812,봄,,FALSE
159,6,사고건수,차대차_충돌,충돌,차대차,7353,봄,,FALSE
160,6,사망자수,차대차_충돌,충돌,차대차,53,봄,,FALSE
161,6,부상자수,차대차_충돌,충돌,차대차,11146,봄,,FALSE
162,7,사고건수,차대차_충돌,충돌,차대차,7657,여름,,FALSE
163,7,사망자수,차대차_충돌,충돌,차대차,56,여름,,FALSE
164,7,부상자수,차대차_충돌,충돌,차대차,11599,여름,,FALSE
165,8,사고건수,차대차_충돌,충돌,차대차,6770,여름,,FALSE
166,8,사망자수,차대차_충돌,충돌,차대차,54,여름,,FALSE
167,8,부상자수,차대차_충돌,충돌,차대차,10316,여름,,FALSE
168,9,사고건수,차대차_충돌,충돌,차대차,6980,가을,,FALSE
169,9,사망자수,차대차_충돌,충돌,차대차,43,가을,,FALSE
170,9,부상자수,차대차_충돌,충돌,차대차,10515,가을,,FALSE
171,10,사고건수,차대차_충돌,충돌,차대차,7285,가을,,FALSE
172,10,사망자수,차대차_충돌,충돌,차대차,61,가을,,FALSE
173,10,부상자수,차대차_충돌,충돌,차대차,11007,가을,,FALSE
174,11,사고건수,차대차_충돌,충돌,차대차,7198,가을,,FALSE
175,11,사망자수,차대차_충돌,충돌,차대차,67,가을,,FALSE
176,11,부상자수,차대차_충돌,충돌,차대차,10891,가을,,FALSE
177,12,사고건수,차대차_충돌,충돌,차대차,6607,겨울,,FALSE
178,12,사망자수,차대차_충돌,충돌,차대차,57,겨울,,FALSE
179,12,부상자수,차대차_충돌,충돌,차대차,9763,겨울,,FALSE
180,1,사고건수,차대차_추돌,추돌,차대차,2675,겨울,,FALSE
181,1,사망자수,차대차_추돌,추돌,차대차,28,겨울,,FALSE
182,1,부상자수,차대차_추돌,추돌,차대차,4584,겨울,,FALSE
183,2,사고건수,차대차_추돌,추돌,차대차,2441,겨울,,FALSE
184,2,사망자수,차대차_추돌,추돌,차대차,24,겨울,,FALSE
185,2,부상자수,차대차_추돌,추돌,차대차,4345,겨울,,FALSE
186,3,사고건수,차대차_추돌,추돌,차대차,2671,봄,,FALSE
187,3,사망자수,차대차_추돌,추돌,차대차,33,봄,,FALSE
188,3,부상자수,차대차_추돌,추돌,차대차,4706,봄,,FALSE
189,4,사고건수,차대차_추돌,추돌,차대차,2701,봄,,FALSE
190,4,사망자수,차대차_추돌,추돌,차대차,24,봄,,FALSE
191,4,부상자수,차대차_추돌,추돌,차대차,4869,봄,,FALSE
192,5,사고건수,차대차_추돌,추돌,차대차,2716,봄,,FALSE
193,5,사망자수,차대차_추돌,추돌,차대차,27,봄,,FALSE
194,5,부상자수,차대차_추돌,추돌,차대차,4808,봄,,FALSE
195,6,사고건수,차대차_추돌,추돌,차대차,2611,봄,,FALSE
196,6,사망자수,차대차_추돌,추돌,차대차,28,봄,,FALSE
197,6,부상자수,차대차_추돌,추돌,차대차,4577,봄,,FALSE
198,7,사고건수,차대차_추돌,추돌,차대차,2766,여름,,FALSE
199,7,사망자수,차대차_추돌,추돌,차대차,36,여름,,FALSE
200,7,부상자수,차대차_추돌,추돌,차대차,4776,여름,,FALSE
201,8,사고건수,차대차_추돌,추돌,차대차,2617,여름,,FALSE
202,8,사망자수,차대차_추돌,추돌,차대차,33,여름,,FALSE
203,8,부상자수,차대차_추돌,추돌,차대차,4611,여름,,FALSE
204,9,사고건수,차대차_추돌,추돌,차대차,2769,가을,,FALSE
205,9,사망자수,차대차_추돌,추돌,차대차,33,가을,,FALSE
206,9,부상자수,차대차_추돌,추돌,차대차,4895,가을,,FALSE
207,10,사고건수,차대차_추돌,추돌,차대차,3008,가을,,FALSE
208,10,사망자수,차대차_추돌,추돌,차대차,47,가을,,FALSE
209,10,부상자수,차대차_추돌,추돌,차대차,5320,가을,,FALSE
210,11,사고건수,차대차_추돌,추돌,차대차,2876,가을,,FALSE
211,11,사망자수,차대차_추돌,추돌,차대차,36,가을,,FALSE
212,11,부상자수,차대차_추돌,추돌,차대차,5016,가을,,FALSE
213,12,사고건수,차대차_추돌,추돌,차대차,2866,겨울,,FALSE
214,12,사망자수,차대차_추돌,추돌,차대차,30,겨울,,FALSE
215,12,부상자수,차대차_추돌,추돌,차대차,4916,겨울,,FALSE
216,1,사고건수,차대차_기타/불명,기타/불명,차대차,3145,겨울,,FALSE
217,1,사망자수,차대차_기타/불명,기타/불명,차대차,15,겨울,,FALSE
218,1,부상자수,차대차_기타/불명,기타/불명,차대차,4401,겨울,,FALSE
219,2,사고건수,차대차_기타/불명,기타/불명,차대차,3006,겨울,,FALSE
220,2,사망자수,차대차_기타/불명,기타/불명,차대차,14,겨울,,FALSE
221,2,부상자수,차대차_기타/불명,기타/불명,차대차,4307,겨울,,FALSE
222,3,사고건수,차대차_기타/불명,기타/불명,차대차,3466,봄,,FALSE
223,3,사망자수,차대차_기타/불명,기타/불명,차대차,14,봄,,FALSE
224,3,부상자수,차대차_기타/불명,기타/불명,차대차,5182,봄,,FALSE
225,4,사고건수,차대차_기타/불명,기타/불명,차대차,3627,봄,,FALSE
226,4,사망자수,차대차_기타/불명,기타/불명,차대차,14,봄,,FALSE
227,4,부상자수,차대차_기타/불명,기타/불명,차대차,5305,봄,,FALSE
228,5,사고건수,차대차_기타/불명,기타/불명,차대차,3840,봄,,FALSE
229,5,사망자수,차대차_기타/불명,기타/불명,차대차,26,봄,,FALSE
230,5,부상자수,차대차_기타/불명,기타/불명,차대차,5584,봄,,FALSE
231,6,사고건수,차대차_기타/불명,기타/불명,차대차,3909,봄,,FALSE
232,6,사망자수,차대차_기타/불명,기타/불명,차대차,19,봄,,FALSE
233,6,부상자수,차대차_기타/불명,기타/불명,차대차,5678,봄,,FALSE
234,7,사고건수,차대차_기타/불명,기타/불명,차대차,4025,여름,,FALSE
235,7,사망자수,차대차_기타/불명,기타/불명,차대차,18,여름,,FALSE
236,7,부상자수,차대차_기타/불명,기타/불명,차대차,5757,여름,,FALSE
237,8,사고건수,차대차_기타/불명,기타/불명,차대차,3731,여름,,FALSE
238,8,사망자수,차대차_기타/불명,기타/불명,차대차,24,여름,,FALSE
239,8,부상자수,차대차_기타/불명,기타/불명,차대차,5401,여름,,FALSE
240,9,사고건수,차대차_기타/불명,기타/불명,차대차,3696,가을,,FALSE
241,9,사망자수,차대차_기타/불명,기타/불명,차대차,26,가을,,FALSE
242,9,부상자수,차대차_기타/불명,기타/불명,차대차,5164,가을,,FALSE
243,10,사고건수,차대차_기타/불명,기타/불명,차대차,4108,가을,,FALSE
244,10,사망자수,차대차_기타/불명,기타/불명,차대차,24,가을,,FALSE
245,10,부상자수,차대차_기타/불명,기타/불명,차대차,5932,가을,,FALSE
246,11,사고건수,차대차_기타/불명,기타/불명,차대차,3914,가을,,FALSE
247,11,사망자수,차대차_기타/불명,기타/불명,차대차,26,가을,,FALSE
248,11,부상자수,차대차_기타/불명,기타/불명,차대차,5517,가을,,FALSE
249,12,사고건수,차대차_기타/불명,기타/불명,차대차,3755,겨울,,FALSE
250,12,사망자수,차대차_기타/불명,기타/불명,차대차,28,겨울,,FALSE
251,12,부상자수,차대차_기타/불명,기타/불명,차대차,5217,겨울,,FALSE
252,1,사고건수,차량단독_전도/전복,전도/전복,차량단독,83,겨울,,FALSE
253,1,사망자수,차량단독_전도/전복,전도/전복,차량단독,6,겨울,,FALSE
254,1,부상자수,차량단독_전도/전복,전도/전복,차량단독,83,겨울,,FALSE
255,2,사고건수,차량단독_전도/전복,전도/전복,차량단독,83,겨울,,FALSE
256,2,사망자수,차량단독_전도/전복,전도/전복,차량단독,21,겨울,,FALSE
257,2,부상자수,차량단독_전도/전복,전도/전복,차량단독,82,겨울,,FALSE
258,3,사고건수,차량단독_전도/전복,전도/전복,차량단독,89,봄,,FALSE
259,3,사망자수,차량단독_전도/전복,전도/전복,차량단독,7,봄,,FALSE
260,3,부상자수,차량단독_전도/전복,전도/전복,차량단독,89,봄,,FALSE
261,4,사고건수,차량단독_전도/전복,전도/전복,차량단독,91,봄,,FALSE
262,4,사망자수,차량단독_전도/전복,전도/전복,차량단독,9,봄,,FALSE
263,4,부상자수,차량단독_전도/전복,전도/전복,차량단독,97,봄,,FALSE
264,5,사고건수,차량단독_전도/전복,전도/전복,차량단독,110,봄,,FALSE
265,5,사망자수,차량단독_전도/전복,전도/전복,차량단독,12,봄,,FALSE
266,5,부상자수,차량단독_전도/전복,전도/전복,차량단독,112,봄,,FALSE
267,6,사고건수,차량단독_전도/전복,전도/전복,차량단독,119,봄,,FALSE
268,6,사망자수,차량단독_전도/전복,전도/전복,차량단독,12,봄,,FALSE
269,6,부상자수,차량단독_전도/전복,전도/전복,차량단독,130,봄,,FALSE
270,7,사고건수,차량단독_전도/전복,전도/전복,차량단독,103,여름,,FALSE
271,7,사망자수,차량단독_전도/전복,전도/전복,차량단독,12,여름,,FALSE
272,7,부상자수,차량단독_전도/전복,전도/전복,차량단독,134,여름,,FALSE
273,8,사고건수,차량단독_전도/전복,전도/전복,차량단독,104,여름,,FALSE
274,8,사망자수,차량단독_전도/전복,전도/전복,차량단독,11,여름,,FALSE
275,8,부상자수,차량단독_전도/전복,전도/전복,차량단독,99,여름,,FALSE
276,9,사고건수,차량단독_전도/전복,전도/전복,차량단독,98,가을,,FALSE
277,9,사망자수,차량단독_전도/전복,전도/전복,차량단독,8,가을,,FALSE
278,9,부상자수,차량단독_전도/전복,전도/전복,차량단독,106,가을,,FALSE
279,10,사고건수,차량단독_전도/전복,전도/전복,차량단독,87,가을,,FALSE
280,10,사망자수,차량단독_전도/전복,전도/전복,차량단독,11,가을,,FALSE
281,10,부상자수,차량단독_전도/전복,전도/전복,차량단독,90,가을,,FALSE
282,11,사고건수,차량단독_전도/전복,전도/전복,차량단독,82,가을,,FALSE
283,11,사망자수,차량단독_전도/전복,전도/전복,차량단독,4,가을,,FALSE
284,11,부상자수,차량단독_전도/전복,전도/전복,차량단독,94,가을,,FALSE
285,12,사고건수,차량단독_전도/전복,전도/전복,차량단독,72,겨울,,FALSE
286,12,사망자수,차량단독_전도/전복,전도/전복,차량단독,5,겨울,,FALSE
287,12,부상자수,차량단독_전도/전복,전도/전복,차량단독,75,겨울,,FALSE
288,1,사고건수,차량단독_충돌,충돌,차량단독,189,겨울,,FALSE
289,1,사망자수,차량단독_충돌,충돌,차량단독,20,겨울,,FALSE
290,1,부상자수,차량단독_충돌,충돌,차량단독,220,겨울,,FALSE
291,2,사고건수,차량단독_충돌,충돌,차량단독,229,겨울,,FALSE
292,2,사망자수,차량단독_충돌,충돌,차량단독,28,겨울,,FALSE
293,2,부상자수,차량단독_충돌,충돌,차량단독,314,겨울,,FALSE
294,3,사고건수,차량단독_충돌,충돌,차량단독,231,봄,,FALSE
295,3,사망자수,차량단독_충돌,충돌,차량단독,22,봄,,FALSE
296,3,부상자수,차량단독_충돌,충돌,차량단독,251,봄,,FALSE
297,4,사고건수,차량단독_충돌,충돌,차량단독,234,봄,,FALSE
298,4,사망자수,차량단독_충돌,충돌,차량단독,33,봄,,FALSE
299,4,부상자수,차량단독_충돌,충돌,차량단독,289,봄,,FALSE
300,5,사고건수,차량단독_충돌,충돌,차량단독,252,봄,,FALSE
301,5,사망자수,차량단독_충돌,충돌,차량단독,30,봄,,FALSE
302,5,부상자수,차량단독_충돌,충돌,차량단독,297,봄,,FALSE
303,6,사고건수,차량단독_충돌,충돌,차량단독,256,봄,,FALSE
304,6,사망자수,차량단독_충돌,충돌,차량단독,36,봄,,FALSE
305,6,부상자수,차량단독_충돌,충돌,차량단독,316,봄,,FALSE
306,7,사고건수,차량단독_충돌,충돌,차량단독,272,여름,,FALSE
307,7,사망자수,차량단독_충돌,충돌,차량단독,20,여름,,FALSE
308,7,부상자수,차량단독_충돌,충돌,차량단독,338,여름,,FALSE
309,8,사고건수,차량단독_충돌,충돌,차량단독,254,여름,,FALSE
310,8,사망자수,차량단독_충돌,충돌,차량단독,36,여름,,FALSE
311,8,부상자수,차량단독_충돌,충돌,차량단독,311,여름,,FALSE
312,9,사고건수,차량단독_충돌,충돌,차량단독,176,가을,,FALSE
313,9,사망자수,차량단독_충돌,충돌,차량단독,25,가을,,FALSE
314,9,부상자수,차량단독_충돌,충돌,차량단독,188,가을,,FALSE
315,10,사고건수,차량단독_충돌,충돌,차량단독,231,가을,,FALSE
316,10,사망자수,차량단독_충돌,충돌,차량단독,38,가을,,FALSE
317,10,부상자수,차량단독_충돌,충돌,차량단독,262,가을,,FALSE
318,11,사고건수,차량단독_충돌,충돌,차량단독,215,가을,,FALSE
319,11,사망자수,차량단독_충돌,충돌,차량단독,25,가을,,FALSE
320,11,부상자수,차량단독_충돌,충돌,차량단독,274,가을,,FALSE
321,12,사고건수,차량단독_충돌,충돌,차량단독,226,겨울,,FALSE
322,12,사망자수,차량단독_충돌,충돌,차량단독,30,겨울,,FALSE
323,12,부상자수,차량단독_충돌,충돌,차량단독,253,겨울,,FALSE
324,1,사고건수,차량단독_추락,추락,차량단독,23,겨울,,FALSE
325,1,사망자수,차량단독_추락,추락,차량단독,2,겨울,,FALSE
326,1,부상자수,차량단독_추락,추락,차량단독,38,겨울,,FALSE
