요일,시간대,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
요일,시간대,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
화,00시-02시,759,17,"1,124",36,0,50,44,0,67,88,1,128,60,3,90,64,2,92,68,4,102,64,1,100,59,1,84,53,5,81,50,0,76,113,0,159,60,0,95
화,02시-04시,321,18,456,15,0,18,29,2,39,22,1,33,24,0,41,38,5,56,38,3,55,28,3,34,28,0,50,24,1,31,15,1,18,38,1,52,22,1,29
화,04시-06시,544,28,706,37,3,47,36,1,48,54,4,67,41,3,43,49,1,68,32,2,39,52,5,72,48,1,61,52,4,60,45,1,67,59,2,87,39,1,47
화,06시-08시,"1,789",36,"2,453",130,2,177,113,1,146,181,1,252,144,2,208,136,2,192,178,2,241,138,3,171,128,3,165,106,2,146,127,3,161,228,9,363,180,6,231
화,08시-10시,"3,258",47,"4,566",205,2,314,216,3,299,306,0,439,267,5,380,261,2,380,345,4,473,265,9,366,271,4,397,243,6,328,284,1,405,370,7,475,225,4,310
화,10시-12시,"3,094",34,"4,287",201,1,306,233,3,291,307,9,416,226,3,310,219,1,315,332,2,447,270,2,385,313,3,410,222,3,323,243,3,372,332,2,463,196,2,249
화,12시-14시,"3,196",44,"4,467",222,1,319,254,4,389,292,4,385,254,2,344,267,6,367,329,5,470,244,6,353,325,4,448,246,3,355,247,5,329,291,2,394,225,2,314
화,14시-16시,"3,536",45,"4,992",247,4,331,322,2,459,332,4,473,273,2,368,308,4,435,372,2,565,274,6,385,363,6,493,262,5,405,267,4,389,295,3,402,221,3,287
화,16시-18시,"4,089",32,"5,685",254,1,347,306,2,420,364,1,521,335,3,470,332,1,464,411,0,570,352,1,498,361,6,526,300,3,434,319,1,431,457,8,598,298,5,406
화,18시-20시,"4,287",41,"5,894",335,4,466,318,2,432,399,3,573,317,6,501,341,2,453,366,2,506,283,3,399,386,0,529,321,3,446,389,4,516,473,7,602,359,5,471
화,20시-22시,"2,935",38,"4,020",248,5,318,259,3,358,225,0,321,222,7,313,266,1,368,278,1,391,225,5,320,311,2,419,248,5,324,195,5,253,244,4,351,214,0,284
화,22시-24시,"1,945",37,"2,807",102,2,139,147,2,220,204,2,312,146,2,221,206,6,291,177,5,246,138,2,208,191,2,279,155,4,202,184,4,267,179,3,270,116,3,152
수,00시-02시,774,35,"1,110",42,1,55,51,2,81,70,2,105,56,3,77,86,5,127,85,3,116,71,2,99,47,2,75,83,3,127,39,4,51,66,3,92,78,5,105
수,02시-04시,363,17,484,23,0,35,26,0,38,34,1,39,23,2,23,47,3,67,28,1,35,35,3,41,26,1,44,41,4,50,11,1,15,37,1,48,32,0,49
수,04시-06시,553,32,754,34,2,48,38,0,50,65,5,87,41,0,61,29,1,32,46,2,60,51,5,66,39,4,43,52,1,75,39,3,54,53,4,80,66,5,98
수,06시-08시,"1,789",37,"2,431",149,6,201,110,1,144,173,1,246,139,3,189,100,0,146,160,2,222,145,3,183,119,1,151,142,1,188,163,5,221,172,8,259,217,6,281
수,08시-10시,"3,280",38,"4,597",227,3,330,246,4,357,309,3,430,291,5,407,212,4,288,342,3,479,263,3,381,232,3,325,309,2,410,267,2,388,271,1,366,311,5,436
수,10시-12시,"3,024",52,"4,183",202,2,298,230,2,331,276,1,369,202,5,285,247,4,367,303,5,409,269,5,366,241,5,346,290,4,400,239,5,320,253,5,339,272,9,353
수,12시-14시,"3,292",46,"4,700",227,3,317,234,2,319,307,7,424,263,3,381,273,6,419,315,1,444,265,3,381,253,6,388,329,3,472,274,2,391,259,4,352,293,6,412
수,14시-16시,"3,547",34,"5,001",255,2,343,293,1,438,349,4,474,280,1,380,271,3,424,335,2,451,272,4,364,258,2,384,374,3,516,280,6,412,256,5,362,324,1,453
수,16시-18시,"4,171",33,"5,828",254,1,372,283,1,371,366,2,513,323,2,474,349,7,485,454,2,644,376,3,515,318,2,442,394,3,571,338,3,430,326,2,450,390,5,561
