,법규위반유형,유형,주야,월,사고수
358,안전거리미확보,사망자수,주,12,6
359,안전거리미확보,부상자수,주,12,1879
360,안전거리미확보,사고건수,야,01,608
361,안전거리미확보,사망자수,야,01,1
362,안전거리미확보,부상자수,야,01,913
363,안전거리미확보,사고건수,야,02,542
364,안전거리미확보,사망자수,야,02,0
365,안전거리미확보,부상자수,야,02,836
366,안전거리미확보,사고건수,야,03,569
367,안전거리미확보,사망자수,야,03,0
368,안전거리미확보,부상자수,야,03,882
369,안전거리미확보,사고건수,야,04,499
370,안전거리미확보,사망자수,야,04,2
371,안전거리미확보,부상자수,야,04,806
372,안전거리미확보,사고건수,야,05,523
373,안전거리미확보,사망자수,야,05,0
374,안전거리미확보,부상자수,야,05,817
375,안전거리미확보,사고건수,야,06,554
376,안전거리미확보,사망자수,야,06,1
377,안전거리미확보,부상자수,야,06,875
378,안전거리미확보,사고건수,야,07,532
379,안전거리미확보,사망자수,야,07,0
380,안전거리미확보,부상자수,야,07,852
381,안전거리미확보,사고건수,야,08,520
382,안전거리미확보,사망자수,야,08,1
383,안전거리미확보,부상자수,야,08,823
384,안전거리미확보,사고건수,야,09,518
385,안전거리미확보,사망자수,야,09,2
386,안전거리미확보,부상자수,야,09,821
387,안전거리미확보,사고건수,야,10,655
388,안전거리미확보,사망자수,야,10,2
389,안전거리미확보,부상자수,야,10,1061
390,안전거리미확보,사고건수,야,11,610
391,안전거리미확보,사망자수,야,11,3
392,안전거리미확보,부상자수,야,11,956
393,안전거리미확보,사고건수,야,12,611
394,안전거리미확보,사망자수,야,12,3
395,안전거리미확보,부상자수,야,12,945
396,일시정지위반,사고건수,주,01,29
397,일시정지위반,사망자수,주,01,0
398,일시정지위반,부상자수,주,01,54
399,일시정지위반,사고건수,주,02,32
400,일시정지위반,사망자수,주,02,0
401,일시정지위반,부상자수,주,02,60
402,일시정지위반,사고건수,주,03,48
403,일시정지위반,사망자수,주,03,0
404,일시정지위반,부상자수,주,03,75
405,일시정지위반,사고건수,주,04,45
406,일시정지위반,사망자수,주,04,0
407,일시정지위반,부상자수,주,04,72
408,일시정지위반,사고건수,주,05,37
409,일시정지위반,사망자수,주,05,0
410,일시정지위반,부상자수,주,05,57
411,일시정지위반,사고건수,주,06,42
412,일시정지위반,사망자수,주,06,0
413,일시정지위반,부상자수,주,06,62
414,일시정지위반,사고건수,주,07,41
415,일시정지위반,사망자수,주,07,0
416,일시정지위반,부상자수,주,07,70
417,일시정지위반,사고건수,주,08,48
418,일시정지위반,사망자수,주,08,2
419,일시정지위반,부상자수,주,08,71
420,일시정지위반,사고건수,주,09,48
421,일시정지위반,사망자수,주,09,1
422,일시정지위반,부상자수,주,09,98
423,일시정지위반,사고건수,주,10,43
424,일시정지위반,사망자수,주,10,0
425,일시정지위반,부상자수,주,10,65
426,일시정지위반,사고건수,주,11,43
427,일시정지위반,사망자수,주,11,0
428,일시정지위반,부상자수,주,11,88
429,일시정지위반,사고건수,주,12,35
