도로종류,시간대,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
도로종류,시간대,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
특별광역시도,12시-14시,"9,069",65,"12,458",710,3,978,656,7,903,743,7,"1,000",790,4,"1,105",822,8,"1,136",778,2,"1,038",805,3,"1,110",772,6,"1,080",783,8,"1,019",744,5,"1,049",732,6,"1,024",734,6,"1,016"
특별광역시도,14시-16시,"9,558",50,"13,359",756,5,"1,051",740,3,"1,041",816,3,"1,177",839,4,"1,156",877,7,"1,229",839,4,"1,162",800,5,"1,112",763,3,"1,066",833,6,"1,170",787,6,"1,100",767,3,"1,081",741,1,"1,014"
특별광역시도,16시-18시,"10,524",53,"14,443",751,1,"1,034",754,4,"1,031",866,5,"1,213",918,1,"1,273",938,4,"1,315",902,4,"1,246",939,4,"1,251",863,10,"1,216",885,7,"1,216",880,5,"1,195",948,5,"1,291",880,3,"1,162"
특별광역시도,18시-20시,"11,682",58,"16,012","1,072",3,"1,470",927,8,"1,282",988,2,"1,388",916,3,"1,261",859,1,"1,157",922,3,"1,267",888,3,"1,233",897,4,"1,195",925,7,"1,244","1,141",11,"1,641","1,044",5,"1,414","1,103",8,"1,460"
특별광역시도,20시-22시,"8,420",57,"11,744",895,4,"1,217",712,8,"1,015",659,4,961,723,1,"1,034",739,4,"1,018",690,4,947,690,9,946,732,8,"1,031",676,5,928,610,8,827,599,1,815,695,1,"1,005"
특별광역시도,22시-24시,"6,453",61,"9,403",359,3,523,485,10,714,584,3,852,612,4,895,582,4,829,621,5,910,558,4,799,526,6,731,536,3,782,625,5,958,507,5,740,458,9,670
시도,00시-02시,"1,855",61,"2,719",109,4,153,121,0,190,169,2,250,175,9,244,179,9,261,156,7,209,188,2,292,121,3,176,118,7,183,151,6,220,205,6,300,163,6,241
시도,02시-04시,829,47,"1,202",45,2,58,54,4,82,76,2,105,72,0,103,96,11,156,77,4,98,78,7,105,59,7,88,51,4,86,58,2,83,100,1,154,63,3,84
시도,04시-06시,"1,133",65,"1,530",65,1,87,72,5,103,97,6,120,100,5,144,81,2,108,98,8,138,102,8,139,78,7,108,109,9,141,104,8,137,127,5,156,100,1,149
시도,06시-08시,"3,494",64,"4,815",307,6,396,251,6,342,293,4,402,290,1,387,257,4,361,279,3,406,298,4,394,235,3,330,236,1,323,304,6,406,364,14,546,380,12,522
시도,08시-10시,"6,492",61,"9,185",418,5,615,391,2,559,547,4,790,599,2,828,528,6,755,622,5,869,602,14,832,491,8,704,542,3,752,599,6,868,618,3,848,535,3,765
시도,10시-12시,"6,512",76,"9,187",467,8,694,438,3,638,505,6,708,535,6,737,546,6,766,579,6,832,604,4,888,557,6,796,567,7,788,609,2,824,577,11,789,528,11,727
시도,12시-14시,"7,399",69,"10,744",541,3,775,571,5,842,614,6,896,632,5,920,677,10,999,597,4,905,690,3,990,616,4,924,643,7,936,662,8,935,584,11,825,572,3,797
시도,14시-16시,"7,692",76,"11,264",562,5,825,606,3,909,660,7,968,664,7,967,673,5,975,669,3,983,634,10,914,629,4,958,669,3,978,682,11,956,624,10,909,620,8,922
시도,16시-18시,"8,929",70,"12,918",590,4,877,600,3,883,679,5,"1,001",800,10,"1,170",780,6,"1,142",812,2,"1,182",793,2,"1,118",696,6,"1,009",791,8,"1,156",803,6,"1,124",806,8,"1,134",779,10,"1,122"
시도,18시-20시,"9,925",87,"13,706",878,8,"1,254",748,6,"1,058",760,6,"1,080",850,6,"1,231",724,7,"1,008",705,5,935,827,4,"1,146",706,7,977,774,10,"1,032","1,046",7,"1,459",943,8,"1,279",964,13,"1,247"
시도,20시-22시,"6,704",80,"9,468",683,10,966,555,3,796,533,2,759,564,12,794,561,7,771,544,6,763,621,10,861,565,6,797,495,5,649,521,9,757,499,3,749,563,7,806
시도,22시-24시,"4,531",78,"6,668",264,3,390,375,2,563,392,4,603,397,7,627,414,9,582,392,6,601,415,4,597,366,8,522,381,4,550,465,16,678,349,9,501,321,6,454
군도,00시-02시,98,3,132,3,0,3,7,0,10,9,0,13,8,0,10,8,0,11,12,1,16,11,1,15,7,0,7,6,0,9,8,0,11,9,0,17,10,1,10
군도,02시-04시,69,2,97,1,0,1,7,0,8,5,0,5,7,0,8,8,0,14,4,1,9,8,0,10,7,0,17,5,0,6,9,1,10,5,0,6,3,0,3
군도,04시-06시,77,5,111,-,-,-,3,0,3,6,0,9,11,0,14,9,0,17,7,0,8,9,1,10,6,0,12,5,0,7,7,0,11,11,4,17,3,0,3
군도,06시-08시,387,17,499,17,2,19,21,0,27,19,1,26,27,1,38,25,1,34,42,2,59,48,4,65,34,1,46,42,2,48,38,2,44,39,0,53,35,1,40
군도,08시-10시,854,31,"1,218",50,2,75,46,1,65,56,2,76,82,4,116,85,3,109,71,3,97,78,4,144,73,2,100,79,1,106,88,2,121,86,5,111,60,2,98
군도,10시-12시,865,18,"1,249",69,1,102,55,2,68,56,0,69,80,2,123,72,2,107,83,0,123,92,3,147,67,0,93,78,3,127,57,2,80,87,0,126,69,3,84
군도,12시-14시,948,29,"1,379",61,1,87,55,0,77,74,6,91,83,0,133,83,6,122,98,4,143,89,3,135,90,3,121,78,1,126,79,2,123,77,1,111,81,2,110
군도,14시-16시,984,33,"1,462",67,3,101,60,0,89,74,1,101,80,5,107,73,2,109,98,3,148,91,3,121,91,4,159,80,2,122,111,5,176,85,3,118,74,2,111
군도,16시-18시,999,25,"1,450",62,1,85,56,1,73,63,0,93,94,1,150,80,5,105,113,1,185,103,4,138,87,2,135,101,1,152,81,1,126,89,4,115,70,4,93
군도,18시-20시,886,22,"1,186",72,1,93,54,0,67,63,0,90,68,0,90,74,2,99,76,3,109,66,2,83,61,2,91,73,3,103,113,4,134,85,4,124,81,1,103
군도,20시-22시,463,13,642,48,3,78,19,0,29,34,1,48,41,3,58,48,0,65,49,1,78,34,1,42,48,2,61,34,2,36,40,0,51,37,0,54,31,0,42
군도,22시-24시,218,10,294,7,3,4,14,0,20,21,0,29,10,0,13,20,0,26,16,0,20,25,2,33,26,3,35,22,0,27,23,1,37,17,0,27,17,1,23
고속국도,00시-02시,171,16,299,13,1,14,13,4,22,15,1,30,12,1,32,14,1,25,13,0,28,15,0,31,16,4,31,16,0,25,15,0,25,17,3,25,12,1,11
고속국도,02시-04시,113,18,176,7,0,15,8,1,10,10,0,12,6,1,7,18,2,48,11,2,14,14,4,15,4,1,8,9,2,8,6,0,10,14,4,22,6,1,7
고속국도,04시-06시,161,17,261,13,1,19,8,0,10,17,0,32,11,1,20,24,6,36,13,2,19,10,0,25,11,0,14,14,1,22,12,2,21,12,2,17,16,2,26
