도로종류,시간대,사고수,월,유형
군도,10시-12시,102,01,부상자수
군도,12시-14시,87,01,부상자수
군도,14시-16시,101,01,부상자수
군도,16시-18시,85,01,부상자수
군도,18시-20시,93,01,부상자수
군도,20시-22시,78,01,부상자수
군도,22시-24시,4,01,부상자수
고속국도,00시-02시,14,01,부상자수
고속국도,02시-04시,15,01,부상자수
고속국도,04시-06시,19,01,부상자수
고속국도,06시-08시,50,01,부상자수
고속국도,08시-10시,40,01,부상자수
고속국도,10시-12시,79,01,부상자수
고속국도,12시-14시,89,01,부상자수
고속국도,14시-16시,64,01,부상자수
고속국도,16시-18시,94,01,부상자수
고속국도,18시-20시,81,01,부상자수
고속국도,20시-22시,56,01,부상자수
고속국도,22시-24시,35,01,부상자수
일반국도,00시-02시,27,02,사고건수
일반국도,02시-04시,13,02,사고건수
일반국도,04시-06시,22,02,사고건수
일반국도,06시-08시,88,02,사고건수
일반국도,08시-10시,123,02,사고건수
일반국도,10시-12시,149,02,사고건수
일반국도,12시-14시,157,02,사고건수
일반국도,14시-16시,157,02,사고건수
일반국도,16시-18시,162,02,사고건수
일반국도,18시-20시,196,02,사고건수
일반국도,20시-22시,153,02,사고건수
일반국도,22시-24시,85,02,사고건수
지방도,00시-02시,23,02,사고건수
지방도,02시-04시,8,02,사고건수
지방도,04시-06시,6,02,사고건수
지방도,06시-08시,56,02,사고건수
지방도,08시-10시,96,02,사고건수
지방도,10시-12시,101,02,사고건수
지방도,12시-14시,132,02,사고건수
지방도,14시-16시,124,02,사고건수
지방도,16시-18시,130,02,사고건수
지방도,18시-20시,147,02,사고건수
지방도,20시-22시,104,02,사고건수
지방도,22시-24시,66,02,사고건수
특별광역시도,00시-02시,171,02,사고건수
특별광역시도,02시-04시,80,02,사고건수
특별광역시도,04시-06시,104,02,사고건수
특별광역시도,06시-08시,243,02,사고건수
특별광역시도,08시-10시,503,02,사고건수
특별광역시도,10시-12시,516,02,사고건수
특별광역시도,12시-14시,656,02,사고건수
특별광역시도,14시-16시,740,02,사고건수
특별광역시도,16시-18시,754,02,사고건수
특별광역시도,18시-20시,927,02,사고건수
특별광역시도,20시-22시,712,02,사고건수
특별광역시도,22시-24시,485,02,사고건수
시도,00시-02시,121,02,사고건수
시도,02시-04시,54,02,사고건수
시도,04시-06시,72,02,사고건수
시도,06시-08시,251,02,사고건수
시도,08시-10시,391,02,사고건수
시도,10시-12시,438,02,사고건수
시도,12시-14시,571,02,사고건수
시도,14시-16시,606,02,사고건수
시도,16시-18시,600,02,사고건수
시도,18시-20시,748,02,사고건수
시도,20시-22시,555,02,사고건수
시도,22시-24시,375,02,사고건수
군도,00시-02시,7,02,사고건수
군도,02시-04시,7,02,사고건수
군도,04시-06시,3,02,사고건수
군도,06시-08시,21,02,사고건수
군도,08시-10시,46,02,사고건수
군도,10시-12시,55,02,사고건수
군도,12시-14시,55,02,사고건수
군도,14시-16시,60,02,사고건수
군도,16시-18시,56,02,사고건수
군도,18시-20시,54,02,사고건수
