	법규위반유형	유형	주야	월	사고수
212	중앙선침범	부상자수	주	11	775
213	중앙선침범	사고건수	주	12	396
214	중앙선침범	사망자수	주	12	10
215	중앙선침범	부상자수	주	12	609
216	중앙선침범	사고건수	야	1	269
217	중앙선침범	사망자수	야	1	10
218	중앙선침범	부상자수	야	1	395
219	중앙선침범	사고건수	야	2	225
220	중앙선침범	사망자수	야	2	6
221	중앙선침범	부상자수	야	2	340
222	중앙선침범	사고건수	야	3	242
223	중앙선침범	사망자수	야	3	2
224	중앙선침범	부상자수	야	3	377
225	중앙선침범	사고건수	야	4	255
226	중앙선침범	사망자수	야	4	5
227	중앙선침범	부상자수	야	4	372
228	중앙선침범	사고건수	야	5	271
229	중앙선침범	사망자수	야	5	2
230	중앙선침범	부상자수	야	5	438
231	중앙선침범	사고건수	야	6	286
232	중앙선침범	사망자수	야	6	12
233	중앙선침범	부상자수	야	6	426
234	중앙선침범	사고건수	야	7	302
235	중앙선침범	사망자수	야	7	10
236	중앙선침범	부상자수	야	7	474
237	중앙선침범	사고건수	야	8	253
238	중앙선침범	사망자수	야	8	5
239	중앙선침범	부상자수	야	8	381
240	중앙선침범	사고건수	야	9	243
241	중앙선침범	사망자수	야	9	4
242	중앙선침범	부상자수	야	9	377
243	중앙선침범	사고건수	야	10	332
244	중앙선침범	사망자수	야	10	8
245	중앙선침범	부상자수	야	10	541
246	중앙선침범	사고건수	야	11	296
247	중앙선침범	사망자수	야	11	8
248	중앙선침범	부상자수	야	11	473
249	중앙선침범	사고건수	야	12	285
250	중앙선침범	사망자수	야	12	7
251	중앙선침범	부상자수	야	12	416
252	신호위반	사고건수	주	1	953
253	신호위반	사망자수	주	1	9
254	신호위반	부상자수	주	1	1423
255	신호위반	사고건수	주	2	987
256	신호위반	사망자수	주	2	9
257	신호위반	부상자수	주	2	1521
258	신호위반	사고건수	주	3	1095
259	신호위반	사망자수	주	3	12
260	신호위반	부상자수	주	3	1670
261	신호위반	사고건수	주	4	1176
262	신호위반	사망자수	주	4	9
263	신호위반	부상자수	주	4	1757
264	신호위반	사고건수	주	5	1142
265	신호위반	사망자수	주	5	12
266	신호위반	부상자수	주	5	1743
267	신호위반	사고건수	주	6	1201
268	신호위반	사망자수	주	6	9
269	신호위반	부상자수	주	6	1843
270	신호위반	사고건수	주	7	1262
271	신호위반	사망자수	주	7	16
272	신호위반	부상자수	주	7	1896
273	신호위반	사고건수	주	8	1121
274	신호위반	사망자수	주	8	9
275	신호위반	부상자수	주	8	1739
276	신호위반	사고건수	주	9	1186
277	신호위반	사망자수	주	9	11
278	신호위반	부상자수	주	9	1696
279	신호위반	사고건수	주	10	1229
280	신호위반	사망자수	주	10	12
281	신호위반	부상자수	주	10	1834
282	신호위반	사고건수	주	11	1226
283	신호위반	사망자수	주	11	14
284	신호위반	부상자수	주	11	1831
285	신호위반	사고건수	주	12	1173
286	신호위반	사망자수	주	12	15
287	신호위반	부상자수	주	12	1731
288	신호위반	사고건수	야	1	834
289	신호위반	사망자수	야	1	10
290	신호위반	부상자수	야	1	1273
291	신호위반	사고건수	야	2	831
292	신호위반	사망자수	야	2	6
293	신호위반	부상자수	야	2	1297
294	신호위반	사고건수	야	3	872
295	신호위반	사망자수	야	3	7
296	신호위반	부상자수	야	3	1385
297	신호위반	사고건수	야	4	950
298	신호위반	사망자수	야	4	7
299	신호위반	부상자수	야	4	1453
300	신호위반	사고건수	야	5	903
301	신호위반	사망자수	야	5	9
302	신호위반	부상자수	야	5	1469
303	신호위반	사고건수	야	6	889
304	신호위반	사망자수	야	6	5
305	신호위반	부상자수	야	6	1361
306	신호위반	사고건수	야	7	892
307	신호위반	사망자수	야	7	7
308	신호위반	부상자수	야	7	1372
309	신호위반	사고건수	야	8	885
310	신호위반	사망자수	야	8	10
311	신호위반	부상자수	야	8	1367
312	신호위반	사고건수	야	9	911
313	신호위반	사망자수	야	9	11
314	신호위반	부상자수	야	9	1412
315	신호위반	사고건수	야	10	1006
316	신호위반	사망자수	야	10	17
317	신호위반	부상자수	야	10	1536
318	신호위반	사고건수	야	11	956
319	신호위반	사망자수	야	11	4
320	신호위반	부상자수	야	11	1384
