도로형태,시간대,사고수,월,유형
교량위,04시-06시,3,02,사고건수
교량위,06시-08시,6,02,사고건수
교량위,08시-10시,11,02,사고건수
교량위,10시-12시,11,02,사고건수
교량위,12시-14시,16,02,사고건수
교량위,14시-16시,9,02,사고건수
교량위,16시-18시,19,02,사고건수
교량위,18시-20시,27,02,사고건수
교량위,20시-22시,6,02,사고건수
교량위,22시-24시,11,02,사고건수
고가도로위,00시-02시,0,02,사고건수
고가도로위,02시-04시,0,02,사고건수
고가도로위,04시-06시,1,02,사고건수
고가도로위,06시-08시,6,02,사고건수
고가도로위,08시-10시,7,02,사고건수
고가도로위,10시-12시,2,02,사고건수
고가도로위,12시-14시,4,02,사고건수
고가도로위,14시-16시,13,02,사고건수
고가도로위,16시-18시,5,02,사고건수
고가도로위,18시-20시,7,02,사고건수
고가도로위,20시-22시,8,02,사고건수
고가도로위,22시-24시,2,02,사고건수
지하차도(도로)내,00시-02시,6,02,사고건수
지하차도(도로)내,02시-04시,2,02,사고건수
지하차도(도로)내,04시-06시,2,02,사고건수
지하차도(도로)내,06시-08시,10,02,사고건수
지하차도(도로)내,08시-10시,17,02,사고건수
지하차도(도로)내,10시-12시,8,02,사고건수
지하차도(도로)내,12시-14시,14,02,사고건수
지하차도(도로)내,14시-16시,24,02,사고건수
지하차도(도로)내,16시-18시,19,02,사고건수
지하차도(도로)내,18시-20시,23,02,사고건수
지하차도(도로)내,20시-22시,20,02,사고건수
지하차도(도로)내,22시-24시,14,02,사고건수
교차로내,00시-02시,112,02,사고건수
교차로내,02시-04시,46,02,사고건수
교차로내,04시-06시,80,02,사고건수
교차로내,06시-08시,247,02,사고건수
교차로내,08시-10시,423,02,사고건수
교차로내,10시-12시,449,02,사고건수
교차로내,12시-14시,523,02,사고건수
교차로내,14시-16시,563,02,사고건수
교차로내,16시-18시,573,02,사고건수
교차로내,18시-20시,699,02,사고건수
교차로내,20시-22시,476,02,사고건수
교차로내,22시-24시,331,02,사고건수
교차로횡단보도내,00시-02시,12,02,사고건수
교차로횡단보도내,02시-04시,0,02,사고건수
교차로횡단보도내,04시-06시,13,02,사고건수
교차로횡단보도내,06시-08시,30,02,사고건수
교차로횡단보도내,08시-10시,44,02,사고건수
교차로횡단보도내,10시-12시,41,02,사고건수
교차로횡단보도내,12시-14시,45,02,사고건수
교차로횡단보도내,14시-16시,56,02,사고건수
교차로횡단보도내,16시-18시,54,02,사고건수
교차로횡단보도내,18시-20시,92,02,사고건수
교차로횡단보도내,20시-22시,55,02,사고건수
교차로횡단보도내,22시-24시,42,02,사고건수
교차로부근,00시-02시,67,02,사고건수
교차로부근,02시-04시,28,02,사고건수
교차로부근,04시-06시,34,02,사고건수
교차로부근,06시-08시,94,02,사고건수
교차로부근,08시-10시,171,02,사고건수
교차로부근,10시-12시,202,02,사고건수
교차로부근,12시-14시,267,02,사고건수
교차로부근,14시-16시,274,02,사고건수
교차로부근,16시-18시,253,02,사고건수
교차로부근,18시-20시,307,02,사고건수
교차로부근,20시-22시,267,02,사고건수
교차로부근,22시-24시,195,02,사고건수
터널안,00시-02시,1,02,사망자수
터널안,02시-04시,0,02,사망자수
터널안,04시-06시,0,02,사망자수
터널안,06시-08시,0,02,사망자수
터널안,08시-10시,1,02,사망자수
터널안,10시-12시,0,02,사망자수
터널안,12시-14시,1,02,사망자수
터널안,14시-16시,0,02,사망자수
터널안,16시-18시,0,02,사망자수
터널안,18시-20시,0,02,사망자수
